Test Result UID,Sample Name,Sample Type,Test Time,Receival Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
TTYKYrXKHmzPC35tn,G13,Concentrate,2015-06-25,2015-06-23,25,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.06,0.0,0.17,0.04,0.11,0.15,0.04,0.26,0.1,0.0,0.03,0.16,0.03,0.0,NaN,48.6,NaN,NaN,0.16,0.16,NaN,0.04,NaN,NaN,NaN,0.77,0.35,NaN
TWFxWJN44BEEEtSwh,Blueberry Headband - TR,Concentrate,2016-08-11,2016-08-09,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.09,0.19,0.24,0.0,0.37,0.04,0.02,0.08,0.29,0.0,0.0,NaN,64.6,NaN,NaN,0.0,0.36,NaN,0.38,NaN,NaN,NaN,2.57,0.76,NaN
TXRR9JzjQpEkwxFr5,CBD Mango Haze #2 LR,Concentrate,2018-05-07,2018-05-07,NaN,0.0,0.0,NaN,NaN,NaN,0.05,0.08,0.0,0.0,0.0,0.09,0.0,0.13,0.0,0.65,0.06,0.17,0.18,0.08,0.32,0.56,0.22,0.09,0.81,0.06,0.1,NaN,0.01,0.01,40.16,0.01,0.01,39.54,0.01,NaN,NaN,5.15,0.01,0.01,NaN
Td9QWrB4ztnsReiZc,PSC - B - CRB,Concentrate,2016-09-15,2016-09-13,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.32,0.03,0.43,0.12,0.0,0.69,0.16,0.17,0.07,0.69,0.0,0.0,NaN,67.9,NaN,NaN,2.35,0.28,NaN,0.41,NaN,NaN,NaN,2.41,0.8,NaN
TdRssM7HCwAaKXmWe,241,Concentrate,2017-09-27,2017-09-27,60,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.18,0.0,0.03,0.05,0.09,0.2,0.0,0.31,0.73,0.02,0.05,0.18,0.0,0.0,NaN,3.41,0.01,93.47,0.01,0.01,0.01,0.01,NaN,NaN,1.93,0.37,0.01,NaN
ThDgxmyNy48e9rFEJ,Acapulco Gold,Concentrate,2017-01-24,2017-01-21,43,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,2.38,0.04,0.2,0.17,0.14,0.57,0.46,0.52,0.01,0.43,0.07,0.0,NaN,65.7,NaN,NaN,0.39,0.25,NaN,0.55,NaN,NaN,NaN,2.52,0.57,NaN
TnF9dEHDAkezcDjbn,Jack Herer x Sour Diesel x Blue Kush Cured Cart,Concentrate,2017-09-21,2017-09-21,2,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.21,0.0,0.28,0.13,0.1,0.08,0.02,0.38,0.18,0.05,0.07,0.27,0.0,0.0,NaN,5.99,0.01,56.47,0.01,0.01,0.01,0.01,NaN,NaN,1.68,0.01,0.01,NaN
Tnsdeof7ix7ojvtmd,SC-Lost Coast 2:1 Batch 2,Concentrate,2018-03-01,2018-03-01,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.04,7.17,0.0,0.0,0.0,0.0,4.33,0.63,0.0,0.0,NaN,24.6,1.4,0.01,0.9,1.17,0.01,46.83,NaN,NaN,0.01,1.91,0.01,NaN
TnsiRM35iJtWzWcjn,Cannatonic Alien - CR,Concentrate,2016-01-20,2016-01-19,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.01,0.0,0.1,0.0,0.08,0.0,0.12,0.08,0.12,0.22,0.01,0.26,0.75,0.01,0.02,0.32,0.01,0.03,NaN,34.1,NaN,NaN,0.1,0.05,NaN,8.4,NaN,NaN,NaN,3.15,0.66,NaN
TozRygEJdRn6jjyYW,Sample 12,Concentrate,NaN,NaN,19,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.07,0.54,0.14,0.0,1.04,0.16,0.0,0.08,0.77,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tpw3DckRcZLBDt6v4,Gorilla Glue 031118,Concentrate,2018-03-15,2018-03-15,6,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.2,0.45,0.09,0.0,0.81,0.12,0.05,0.05,0.22,0.04,0.0,NaN,4.01,0.01,78.37,0.01,0.01,0.01,0.01,NaN,NaN,0.61,0.01,0.01,NaN
TrZata2ePaotSyDFJ,Space Candy - Terp Sugar,Concentrate,2016-06-21,2016-06-20,82,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.09,0.19,0.0,0.0,0.42,0.0,0.0,0.0,0.03,0.0,0.0,NaN,68.4,NaN,NaN,0.3,0.3,NaN,0.53,NaN,NaN,NaN,1.34,0.92,NaN
Ts2i9RAw4DoTfi9pX,Master Yoda - CR,Concentrate,2016-01-13,2016-01-12,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.04,0.02,0.07,0.17,0.01,0.17,1.76,0.2,0.02,0.69,0.01,0.0,NaN,60.3,NaN,NaN,0.38,0.12,NaN,0.02,NaN,NaN,NaN,1.34,0.34,NaN
Tw2QCLfAsbTaBNZpH,Veganic Blueberry Rosin,Concentrate,2016-01-12,2016-01-11,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.21,0.0,0.02,0.01,0.05,0.07,0.01,0.16,3.21,0.1,0.0,0.45,0.01,0.0,NaN,54.3,NaN,NaN,0.11,0.08,NaN,0.02,NaN,NaN,NaN,2.75,0.11,NaN
TxYh6Mj3TEpuGCq7y,Machine Gun Jesus,Concentrate,2016-08-18,2016-08-17,43,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.21,0.0,0.24,0.03,0.09,0.24,0.02,0.19,0.9,0.01,0.0,0.55,0.0,0.0,NaN,69.5,NaN,NaN,0.33,0.24,NaN,0.67,NaN,NaN,NaN,2.04,0.5,NaN
TxnSzWBsakZLkdMBB,Headband 818/Nug Run,Concentrate,2017-06-12,2017-06-12,94,0.0,0.0,NaN,NaN,NaN,0.0,0.02,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0.03,0.08,0.15,0.15,0.0,0.49,0.31,0.14,0.1,0.98,0.0,0.0,NaN,6.44,0.01,69.67,0.01,0.01,0.01,0.01,NaN,NaN,2.37,0.88,0.07,NaN
TykMiitqGRNP2DoeE,Super Lemon Haze,Concentrate,2017-04-06,2017-04-05,3,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2.07,3.64,0.07,2.45,0.0,0.0,3.53,0.46,0.0,0.0,0.18,0.0,0.0,NaN,75.4,NaN,NaN,0.48,0.31,NaN,0.46,NaN,NaN,NaN,3.22,0.0,NaN
TyodnzXAdkfJJp6eJ,Pineapple Chunk Live Resin B,Concentrate,2018-01-05,2018-01-05,2,0.0,0.0,NaN,NaN,NaN,0.13,0.08,0.0,0.0,0.0,0.1,0.0,0.25,0.0,2.97,0.0,0.13,0.27,0.23,0.21,0.53,0.82,0.13,0.53,0.14,0.04,NaN,1.69,0.01,81.15,0.01,0.01,0.01,0.01,NaN,NaN,6.49,0.41,0.01,NaN
W3YiTBmxPoyjy9EeR,Death Buddah,Concentrate,2017-12-06,2017-12-06,36,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.07,0.33,0.55,0.02,0.74,1.29,0.02,0.07,0.61,0.0,0.0,NaN,2.08,0.01,83.03,0.01,0.01,0.01,0.01,NaN,NaN,1.78,0.33,0.01,NaN
W5GuACKGbEtWQxueR,CBD Oil,Concentrate,2016-02-05,2016-02-04,95,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.02,0.0,0.0,0.17,0.1,0.02,0.0,0.32,0.17,0.0,0.01,0.02,0.0,0.0,NaN,1.9,NaN,NaN,0.0,0.02,NaN,69.7,NaN,NaN,NaN,0.55,0.52,NaN
W6bXxGawEiRYe9PGk,"Platinum Garlic ""A""- LRB",Concentrate,2017-08-09,2017-08-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.05,0.0,0.04,0.0,1.12,0.11,0.0,0.02,0.3,0.0,0.0,NaN,1.71,0.01,78.35,0.01,0.01,0.86,0.01,NaN,NaN,3.11,0.01,0.06,NaN
W7G4gDJLdjZ5z3Bxp,DAD,Concentrate,2017-06-02,2017-06-02,10,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.11,0.24,0.04,0.0,0.62,0.04,0.0,0.01,0.3,0.0,0.0,NaN,7.77,0.01,67.9,0.01,0.01,0.5,0.01,NaN,NaN,0.46,0.18,2.11,NaN
