Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Jackson Disbrow- Mamas Boy,"Flower, Inhalable",2017-12-08,,1,,,,,,0.017,0.005,0.009,0.008,0.0,0.118,0.008,0.041,0.08,0.363,0.011,0.044,0.246,0.012,0.139,0.787,,0.129,0.13,0.009,0.001,,,,,,,,,,,,,,
,Royalbudline-Lemon Tree,"Flower, Inhalable",2017-11-22,,1,,,,,,0.0,0.007,0.012,0.0,0.003,0.003,0.003,0.085,0.038,0.0,0.188,0.224,0.303,0.0,0.743,1.025,,0.107,0.169,0.0,0.0,,,,,,,,,,,,,,
,Salmuri- Zkittles,"Flower, Inhalable",2017-11-14,,1,,,,,,0.0,0.005,0.014,0.0,0.004,0.0,0.0,0.145,0.0,0.002,0.003,0.319,0.018,0.0,0.78,0.012,,0.033,0.226,0.0,0.0,,,,,,,,,,,,,,
,Gold Coast - White Gummy,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.044,0.0,0.0,0.072,0.0,0.151,0.176,0.011,0.077,0.144,0.166,0.0,0.477,1.726,,0.207,0.947,0.003,0.0,,,,,,,,,,,,,,
,Gold Coast - Banana Tangie #7,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.048,0.0,0.0,0.201,0.0,0.34,0.028,0.107,0.092,0.213,0.07,0.0,0.731,0.875,,0.16,0.947,0.004,0.0,,,,,,,,,,,,,,
,Gold Coast - Blood Oranges,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.021,0.015,0.072,0.0,0.006,0.0,0.0,0.471,0.151,0.583,0.137,0.223,0.082,0.014,0.76,0.975,,0.178,0.712,0.012,0.0,,,,,,,,,,,,,,
,Calix/Natures Lab- Acai,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.013,0.054,0.0,0.029,0.0,0.0,0.753,0.0,0.024,0.139,0.682,0.035,0.0,1.66,0.216,,0.071,0.494,0.0,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- Yeti OG,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.018,0.007,0.003,0.007,0.002,0.0,0.092,0.015,0.013,0.024,0.041,0.089,0.0,0.139,0.083,,0.111,0.375,0.001,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- Hollister Kush,"Flower, Inhalable",2017-05-30,,3,,,,,,0.009,0.002,0.008,0.002,0.001,0.0,0.0,0.017,0.003,0.143,0.0,0.048,0.082,0.002,0.174,0.386,,0.06,0.054,0.004,0.001,,,,,,,,,,,,,,
,Beard Bros Pharms- Beard Glue,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.008,0.0,0.009,0.0,0.0,0.043,0.0,0.005,0.0,0.143,0.029,0.0,0.488,0.462,,0.056,0.308,0.0,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- 24K,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.007,0.008,0.001,0.007,0.0,0.0,0.037,0.0,0.003,0.0,0.142,0.026,0.0,0.481,0.35,,0.048,0.275,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Victory - Victory Cookies,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.012,0.05,0.0,0.006,0.0,0.0,0.38,0.0,0.023,0.193,0.646,0.051,0.0,1.725,0.376,,0.095,0.415,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Forbidden - OZ Kush,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.084,0.0,0.04,0.004,0.0,0.971,0.0,0.02,0.208,0.666,0.062,0.0,1.488,0.308,,0.142,0.826,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Atrium - Pina Colada,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.029,0.01,0.01,0.0,0.035,0.112,0.0,0.159,0.252,1.06,0.135,0.069,0.212,0.0,0.225,3.164,,0.205,0.541,0.0,0.023,,,,,,,,,,,,,,
,Beezle/The Hive - Banana Pie,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.017,0.189,0.0,0.037,0.0,0.0,0.629,0.006,0.045,0.277,0.899,0.052,0.0,1.86,0.243,,0.123,0.608,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Atrium - Strawberry Banana Source Pen,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.034,0.0,0.003,0.027,0.0,0.025,0.013,0.035,0.198,0.05,0.012,0.0,0.15,0.079,,0.014,0.027,0.0,0.0,,,,,,,,,,,,,,
,Beezle-Lemon Tree Source Pen,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.026,0.0,0.016,0.057,0.0,0.059,0.014,0.087,0.216,0.033,0.0,0.0,0.094,0.085,,0.008,0.028,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Strawnana,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.023,0.11,0.024,0.0,0.382,0.073,,0.065,0.645,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Strawberry Banana,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.005,0.122,0.0,0.003,0.0,0.0,0.007,0.135,0.016,0.03,0.137,0.015,0.0,0.467,0.068,,0.054,0.626,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Golden State 1,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.071,0.0,0.0,0.005,0.0,0.062,0.071,0.051,0.024,0.173,0.035,0.0,0.588,0.303,,0.081,0.621,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Kiwi Strawberry,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.081,0.0,0.0,0.006,0.0,0.063,0.077,0.053,0.029,0.188,0.041,0.0,0.645,0.35,,0.093,0.653,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Forbidden Fruit,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.052,0.0,0.0,0.43,0.0,0.704,0.099,0.073,0.251,0.246,0.029,0.0,0.771,0.867,,0.078,0.802,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Golden State Banana,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.016,0.003,0.0,0.001,0.0,0.0,0.02,0.055,0.008,0.003,0.069,0.099,0.0,0.252,0.611,,0.121,0.431,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Big Smokey Foreign Fruit,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.004,0.003,0.0,0.003,0.061,0.0,0.131,0.0,0.002,0.034,0.047,0.016,0.0,0.165,0.448,,0.031,0.167,0.0,0.0,,,,,,,,,,,,,,
,Soil King - Signature Series raw,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.021,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.11,0.007,0.0,0.0,0.016,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,Soil King - Signature Series Banana OG,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.037,0.0,0.0,0.006,0.0,0.0,0.011,0.0,0.109,0.059,0.0,0.0,0.251,0.0,,0.0,0.168,0.0,0.0,,,,,,,,,,,,,,
,Emerald Essence- Bruce Banner,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.013,0.004,0.0,0.001,0.0,0.0,0.201,0.003,0.004,0.0,0.097,0.046,0.0,0.255,0.524,,0.085,0.494,0.001,0.0,,,,,,,,,,,,,,
,Emerald Essence- Grease Monkey,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.009,0.005,0.003,0.001,0.003,0.0,0.244,0.002,0.005,0.055,0.11,0.04,0.0,0.391,0.126,,0.068,0.451,0.002,0.0,,,,,,,,,,,,,,
,Emerald Essence- Grape Stomper OG,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.006,0.004,0.002,0.002,0.0,0.0,0.265,0.039,0.003,0.081,0.071,0.023,0.0,0.264,1.191,,0.051,0.251,0.0,0.0,,,,,,,,,,,,,,
,Emerald Essence- Golden Lemon,"Flower, Inhalable",2017-05-30,,3,,,,,,0.036,0.008,0.005,0.004,0.0,0.001,0.0,0.019,0.289,0.768,0.019,0.047,0.081,0.017,0.164,0.301,,0.131,0.346,0.016,0.003,,,,,,,,,,,,,,
,Emerald Essence- Dutch Crunch,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.037,0.002,0.047,0.027,0.0,0.237,0.0,0.242,0.199,0.843,0.172,0.168,0.076,0.034,0.412,0.253,,0.124,0.124,0.041,0.0,,,,,,,,,,,,,,
,Panacea - Blood Orange,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.078,0.0,0.0,0.373,0.0,0.525,0.126,0.021,0.24,0.361,0.061,0.0,1.082,0.149,,0.082,0.55,0.0,0.0,,,,,,,,,,,,,,
,Panacea - Live OG,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.013,0.108,0.0,0.008,0.013,0.0,0.575,0.018,0.01,0.333,0.37,0.036,0.0,1.117,0.383,,0.093,0.548,0.003,0.0,,,,,,,,,,,,,,
,FCC/ The Hive- Tangilope Live Resin Butter,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.043,0.094,0.0,0.0,0.595,0.0,1.124,0.659,0.135,0.348,0.627,0.206,0.0,1.972,0.727,,0.329,1.87,0.007,0.0,,,,,,,,,,,,,,
,Louie The XIII Pre-Roll,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.004,0.019,0.0,0.012,0.0,0.0,0.176,0.0,0.002,0.052,0.086,0.01,0.0,0.271,0.157,,0.027,0.168,0.0,0.0,,,,,,,,,,,,,,
,Stunner Farms - Northern Lights # 5,"Flower, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.079,0.034,0.129,0.272,,0.127,0.189,0.0,0.025,,,,,,,,,,,,,,
,Pure Organix - Super Tangie Banana,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.145,0.0,0.0,0.0,0.0,1.688,0.0,0.103,0.0,,0.211,1.432,0.241,0.0,,,,,,,,,,,,,,
,Pure Organix collab with Nuggernauts - Chewbacca,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.125,0.041,0.0,0.0,0.0,0.043,0.742,0.0,0.0,0.0,0.0,3.484,0.0,0.145,0.0,,1.609,1.015,0.0,0.0,,,,,,,,,,,,,,
,Tetra Hydro Club - Gorilla Glue #4 Wax,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.202,0.0,0.0,0.087,0.407,0.034,0.0,1.266,0.114,,0.12,0.358,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - Watermelon,"Flower, Inhalable",2017-05-31,,3,,,,,,0.0,0.006,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.01,0.108,0.029,0.0,0.347,0.259,,0.045,0.23,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - Mega Cookies,"Flower, Inhalable",2017-05-31,,3,,,,,,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.051,0.0,0.414,0.13,,0.105,0.542,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - Mega Sherbert,"Flower, Inhalable",2017-05-31,,3,,,,,,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.035,0.0,0.301,0.18,,0.053,0.308,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - Mega Wellness OG,"Flower, Inhalable",2017-05-31,,3,,,,,,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.097,0.0,0.253,0.726,,0.131,0.762,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - 21:1 CBD Firestixx,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics -  Mega Wellness OG Firestixx,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.025,0.0,0.055,0.0,0.0,0.422,0.0,0.0,0.149,0.234,0.996,0.0,0.597,2.193,,0.551,0.464,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - Watermelon Firestixx,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics - 29:1 CBD Crystals,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.065,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics + Rosin Bros - Mega Wellness OG Flower Rosin,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.616,0.0,0.068,0.0,0.375,0.166,0.0,1.07,0.753,,0.247,1.346,0.0,0.0,,,,,,,,,,,,,,
,Nameless Genetics + Rosin Bros - Watermelon Flower Rosin,"Concentrate, Inhalable",2017-05-31,,3,,,,,,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.022,0.343,0.08,0.0,1.145,0.627,,0.079,0.55,0.0,0.0,,,,,,,,,,,,,,
,Acme Elixers - Lemon Kush,"Concentrate, Inhalable",2017-06-01,,3,,,,,,0.016,0.0,0.187,0.005,0.002,0.714,0.0,0.054,0.095,0.413,0.015,0.153,0.026,0.002,0.457,0.088,,0.049,0.059,0.003,0.004,,,,,,,,,,,,,,
,Kennn Wall X Harry Palms- Strawnana Gou Papaya,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.042,0.017,0.0,0.0,0.133,0.0,0.275,0.0,0.016,0.11,0.246,0.162,0.0,0.861,1.338,,0.295,1.763,0.0,0.0,,,,,,,,,,,,,,
,Zkittlez Super Oil,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.034,0.164,0.097,0.02,0.0,0.0,1.112,0.0,0.044,0.117,2.386,0.147,0.0,6.63,0.124,,0.271,2.28,0.015,0.0,,,,,,,,,,,,,,
,Aims Horticulture X Shugga Shane Solventless X HHC- Monkey Brain Full Melt,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.056,0.037,0.0,0.0,0.0,0.0,0.047,0.029,0.006,0.019,0.239,0.328,0.0,0.843,0.135,,0.357,0.949,0.0,0.0,,,,,,,,,,,,,,
,HHC X Aims Horticulture X Imperial Ex- Banana Core,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.059,0.045,0.0,0.027,0.0,0.0,0.502,0.029,0.018,0.4,0.601,0.304,0.0,2.043,0.333,,0.401,1.408,0.004,0.0,,,,,,,,,,,,,,
,Aims Horticulture X HHC X Shugga Shanes Solventless- Hardcore OG Live Rosin,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.067,0.067,0.0,0.034,0.0,0.0,0.546,0.018,0.01,0.641,0.688,0.278,0.0,2.259,0.451,,0.414,1.547,0.004,0.0,,,,,,,,,,,,,,
,Urbols- Cannatonic,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.015,0.024,0.078,0.0,0.007,0.297,0.0,0.249,0.101,0.564,0.287,0.374,0.42,0.009,1.022,1.515,,0.279,0.633,0.0,0.003,,,,,,,,,,,,,,
,Urbols- White Girl,"Flower, Inhalable",2017-06-05,,3,,,,,,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.0,0.062,0.085,0.004,0.0,0.306,0.382,,0.012,0.033,0.0,0.0,,,,,,,,,,,,,,
,Urbols- 9 lb. Hammer,"Flower, Inhalable",2017-06-05,,3,,,,,,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.079,0.368,0.0,0.22,0.285,,0.166,0.112,0.0,0.0,,,,,,,,,,,,,,
,Urbols- Glookies,"Flower, Inhalable",2017-06-05,,3,,,,,,0.0,0.006,0.006,0.0,0.005,0.0,0.0,0.0,0.0,0.001,0.038,0.109,0.02,0.0,0.403,0.358,,0.042,0.12,0.0,0.0,,,,,,,,,,,,,,
,Urbols- Classic OG,"Flower, Inhalable",2017-06-05,,3,,,,,,0.0,0.014,0.005,0.0,0.012,0.0,0.0,0.0,0.0,0.002,0.042,0.069,0.049,0.0,0.226,0.26,,0.094,0.345,0.0,0.0,,,,,,,,,,,,,,
,Blanq Brand Rozen Extracts- Hardcore Cookies n Cream,"Concentrate, Inhalable",2017-06-05,,3,,,,,,0.0,0.048,0.14,0.0,0.047,0.0,0.0,0.526,0.0,0.05,0.591,0.888,0.152,0.0,2.541,0.597,,0.321,1.522,0.0,0.0,,,,,,,,,,,,,,
,Concrete Genetics - PKK Nightmare OG,"Concentrate, Inhalable",2017-06-08,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.326,0.044,0.0,1.188,0.738,,0.125,0.864,0.0,0.0,,,,,,,,,,,,,,
,ROCCA - GELATO,"Flower, Inhalable",2017-06-08,,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.072,0.0,0.0,0.152,0.066,0.0,0.444,0.052,,0.083,0.407,0.0,0.0,,,,,,,,,,,,,,
,TLC - Sundae Driver #10,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.009,0.004,0.0,0.0,0.108,0.0,0.235,0.004,0.004,0.03,0.129,0.034,0.0,0.466,0.067,,0.057,0.379,0.0,0.0,,,,,,,,,,,,,,
,TLC - Sundae Driver #12,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.004,0.014,0.0,0.0,0.101,0.0,0.06,0.082,0.001,0.027,0.081,0.013,0.0,0.29,0.996,,0.034,0.109,0.0,0.0,,,,,,,,,,,,,,
,TLC - Sundae Driver #13,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.019,0.01,0.0,0.003,0.0,0.0,0.106,0.003,0.006,0.031,0.158,0.067,0.0,0.604,0.086,,0.117,0.635,0.0,0.0,,,,,,,,,,,,,,
,California Extracts-Dirty Roze,"Concentrate, Inhalable",2017-06-12,,3,,,,,,0.016,0.017,0.103,0.0,0.0,0.0,0.0,0.39,0.107,1.659,0.541,1.214,1.011,0.012,3.334,0.451,,0.807,0.534,0.027,0.0,,,,,,,,,,,,,,
,JUNGLE BOYS - SOUR APPLE FULL MELT,"Concentrate, Inhalable",2017-06-12,,3,,,,,,0.0,0.076,0.022,0.0,0.008,0.0,0.0,0.62,0.548,0.028,0.106,0.416,0.428,0.0,1.416,0.607,,0.453,2.717,0.006,0.0,,,,,,,,,,,,,,
,JUNGLE BOYS - PAPAYA x SOUR APPLE ROSIN,"Concentrate, Inhalable",2017-06-12,,3,,,,,,0.0,0.035,0.022,0.0,0.0,0.499,0.0,0.932,0.013,0.025,0.129,0.182,0.144,0.0,0.52,0.721,,0.252,1.955,0.007,0.0,,,,,,,,,,,,,,
,JUNGLE BOYS - SUNDAE DRIVER #8,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.019,0.004,0.0,0.004,0.134,0.0,0.18,0.005,0.011,0.026,0.102,0.071,0.0,0.356,0.082,,0.121,0.894,0.0,0.0,,,,,,,,,,,,,,
,JUNGLE BOYS - SUNDAE DRIVER #9,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.009,0.008,0.0,0.001,0.0,0.0,0.104,0.003,0.004,0.066,0.196,0.035,0.0,0.767,0.056,,0.059,0.367,0.0,0.0,,,,,,,,,,,,,,
,JUNGLE BOYS - PURPLE PUNCH,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.014,0.015,0.0,0.002,0.098,0.0,0.088,0.081,0.002,0.071,0.145,0.063,0.0,0.546,0.178,,0.087,0.379,0.0,0.0,,,,,,,,,,,,,,
,The Exotiks - Sundae Driver #20,"Flower, Inhalable",2017-06-12,,3,,,,,,0.0,0.012,0.008,0.0,0.001,0.089,0.0,0.055,0.0,0.004,0.027,0.08,0.043,0.0,0.295,0.125,,0.072,0.39,0.0,0.0,,,,,,,,,,,,,,
,Master Yoda/ Kush Collective,"Flower, Inhalable",2017-06-13,,3,,,,,,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.083,0.065,0.0,0.297,0.325,,0.128,0.553,0.0,0.0,,,,,,,,,,,,,,
,Dying Breed/3rd Gen/Terphogz-Peach Ringz,"Concentrate, Inhalable",2017-06-15,,3,,,,,,0.0,0.033,0.105,0.0,0.0,0.329,0.0,0.43,0.0,0.009,0.242,0.453,0.118,0.0,1.671,0.246,,0.212,1.448,0.0,0.0,,,,,,,,,,,,,,
,Sweet Creek Farm- Red Ribbon,"Flower, Inhalable",2017-11-14,,1,,,,,,0.0,0.007,0.005,0.0,0.0,0.085,0.0,0.035,0.003,0.001,0.0,0.041,0.317,0.0,0.146,1.053,,0.145,0.137,0.0,0.0,,,,,,,,,,,,,,
,Medcare Farms - Super Lemon Haze,"Flower, Inhalable",2017-02-08,,10,,,,,,0.048,0.0,0.0,0.005,0.014,0.0,0.003,0.042,0.408,1.421,0.005,0.26,0.093,0.041,0.723,0.322,,0.117,0.169,0.021,0.0,,,,,,,,,,,,,,
,Medcare Farms - Wifi OG,"Flower, Inhalable",2017-02-08,,10,,,,,,0.0,0.012,0.0,0.0,0.016,0.0,0.0,0.208,0.0,0.006,0.041,0.152,0.065,0.0,0.508,0.342,,0.1,0.716,0.0,0.0,,,,,,,,,,,,,,
,Medcare Farms - 9lb. Hammer,"Flower, Inhalable",2017-02-08,,10,,,,,,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.103,0.002,0.015,0.047,0.125,0.372,0.0,0.48,1.103,,0.171,0.176,0.0,0.0,,,,,,,,,,,,,,
,Rude Boi OG - Archive,"Flower, Inhalable",2017-03-07,,10,,,,,,0.0,0.012,0.014,0.0,0.008,0.001,0.0,0.278,0.0,0.006,0.16,0.179,0.043,0.0,0.647,0.219,,0.082,0.33,0.0,0.0,,,,,,,,,,,,,,
,COTC - OGKB Live Resin,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.779,0.0,0.0,0.37,0.685,0.14,0.0,1.767,0.748,,0.277,1.53,0.0,0.0,,,,,,,,,,,,,,
,COTC - OGKB Shatter,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.214,0.424,0.132,0.0,1.159,1.113,,0.237,1.308,0.0,0.0,,,,,,,,,,,,,,
,COTC - Cookies & Cream Shatter,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.081,0.0,0.098,0.122,0.926,0.0,0.504,1.225,,0.213,0.404,0.0,0.0,,,,,,,,,,,,,,
,COTC - Gorilla Glue #4 Live Resin,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.218,0.693,0.065,0.0,2.197,0.52,,0.092,0.654,0.0,0.0,,,,,,,,,,,,,,
,COTC - Grape Ape Live Resin,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.04,0.0,0.168,0.347,0.012,0.0,1.258,0.186,,0.0,0.013,0.0,0.0,,,,,,,,,,,,,,
,COTC - Dream Team Live Resin,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.189,0.38,0.331,0.0,1.03,0.519,,0.306,1.245,0.0,0.0,,,,,,,,,,,,,,
,COTC - Cookies & Cream Live Resin,"Concentrate, Inhalable",2017-03-07,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.0,0.0,0.053,0.245,0.126,0.0,0.633,0.379,,0.221,1.362,0.0,0.0,,,,,,,,,,,,,,
,Cookies n Cream,"Flower, Inhalable",2017-03-31,,10,,,,,,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.032,0.072,0.022,0.0,0.186,0.285,,0.041,0.237,0.0,0.0,,,,,,,,,,,,,,
,Rainbow Sherbert,"Flower, Inhalable",2017-03-31,,10,,,,,,0.0,0.014,0.009,0.0,0.0,0.0,0.0,0.138,0.037,0.0,0.056,0.192,0.104,0.0,0.741,0.164,,0.106,0.451,0.0,0.0,,,,,,,,,,,,,,
,OGKB,"Flower, Inhalable",2017-03-31,,10,,,,,,0.0,0.011,0.013,0.0,0.0,0.0,0.0,0.166,0.0,0.008,0.093,0.288,0.048,0.0,0.786,0.722,,0.094,0.484,0.0,0.0,,,,,,,,,,,,,,
,Lemon OG,"Flower, Inhalable",2017-03-31,,10,,,,,,0.0,0.01,0.006,0.0,0.002,0.0,0.0,0.369,0.0,0.0,0.134,0.127,0.043,0.0,0.414,0.592,,0.079,0.433,0.0,0.0,,,,,,,,,,,,,,
,COTC THCA Diamond Sauce,"Concentrate, Inhalable",2017-10-06,,10,,,,,,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.158,0.0,0.351,0.0,0.411,0.143,0.0,1.321,0.502,,0.155,0.727,0.0,0.0,,,,,,,,,,,,,,
,Blue Berry (Shatter) (A+),"Concentrate, Inhalable",2017-01-30,,17,,,,,,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.173,0.0,0.0,0.109,0.134,0.014,0.0,0.47,0.132,,0.006,0.109,0.0,0.0,,,,,,,,,,,,,,
,Purple Mr. Nice,"Concentrate, Inhalable",2017-04-13,,17,,,,,,0.0,0.0,0.073,0.005,0.003,0.017,0.0,0.153,0.0,0.004,0.4,0.455,0.012,0.0,1.424,0.031,,0.025,0.073,0.0,0.0,,,,,,,,,,,,,,
,Hindu Kush,"Concentrate, Inhalable",2017-04-13,,17,,,,,,0.0,0.0,0.071,0.0,0.0,0.023,0.0,0.144,0.0,0.015,0.394,0.434,0.011,0.0,1.364,0.025,,0.017,0.074,0.0,0.0,,,,,,,,,,,,,,
,P.R.,"Flower, Inhalable",2017-02-08,,18,,,,,,0.0,0.016,0.0,0.0,0.019,0.0,0.0,0.195,0.0,0.002,0.015,0.066,0.078,0.0,0.231,0.649,,0.141,0.841,0.0,0.0,,,,,,,,,,,,,,
,Gelato,"Flower, Inhalable",2017-02-08,,18,,,,,,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.088,0.02,0.0,0.023,0.079,0.162,0.0,0.28,0.473,,0.068,0.129,0.0,0.0,,,,,,,,,,,,,,
