Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Long Valley Royal Kush x Purple Cheesle #2,"Flower, Inhalable",2016-11-25,,133,,,,,,0.0,0.005,0.004,0.0,0.003,0.084,0.0,0.093,0.0,0.006,0.046,0.161,0.029,0.0,0.551,0.093,,0.053,0.38,0.0,0.0,,,,,,,,,,,,,,
,Long Valley Royal Kush x Purple Cheesle #1,"Flower, Inhalable",2016-11-25,,133,,,,,,0.0,0.01,0.004,0.0,0.0,0.0,0.0,0.125,0.0,0.011,0.036,0.059,0.043,0.0,0.18,0.338,,0.074,0.492,0.0,0.0,,,,,,,,,,,,,,
,Critical Cure (2016),"Flower, Inhalable",2016-11-21,,137,,,,,,0.0,0.0,0.012,0.0,0.0,0.063,0.0,0.066,0.0,0.027,0.115,0.076,0.016,0.0,0.203,0.275,,0.04,0.136,0.0,0.0,,,,,,,,,,,,,,
,Molecular Farms - Candy Limeade,"Flower, Inhalable",2017-11-14,,1,,,,,,0.0,0.007,0.02,0.0,0.0,0.0,0.0,0.041,0.059,0.013,0.01,0.204,0.446,0.0,0.727,0.907,,0.132,0.115,0.0,0.0,,,,,,,,,,,,,,
,Fifth Element,"Flower, Inhalable",2017-01-17,,137,,,,,,0.0,0.021,0.011,0.0,0.0,0.0,0.0,0.059,0.108,0.04,0.0,0.078,0.094,0.0,0.172,0.599,,0.108,0.404,0.0,0.0,,,,,,,,,,,,,,
,Orange Cream,"Hybrid, Flower, Inhalable",2016-11-17,,141,,,,,,0.033,0.004,0.013,0.0,0.0,0.0,0.0,0.026,0.012,0.926,0.0,0.081,0.053,0.029,0.085,0.337,,0.08,0.124,0.016,0.0,,,,,,,,,,,,,,
,Swamp Thing #9,"Indica, Flower, Inhalable",2016-11-17,,141,,,,,,0.0,0.009,0.008,0.0,0.0,0.0,0.0,0.124,0.0,0.013,0.0,0.141,0.026,0.0,0.081,0.869,,0.049,0.29,0.0,0.0,,,,,,,,,,,,,,
,Strawberry Fields,"Sativa, Flower, Inhalable",2016-11-17,,141,,,,,,0.0,0.0,0.022,0.0,0.0,0.05,0.0,0.041,0.061,0.025,0.0,0.085,0.008,0.0,0.102,0.626,,0.016,0.024,0.0,0.0,,,,,,,,,,,,,,
,Strawberry Fields Rosin,"Rosin, Concentrate, Inhalable",2016-11-17,,141,,,,,,0.0,0.0,0.089,0.0,0.0,0.156,0.0,0.125,0.136,0.022,0.0,0.19,0.018,0.0,0.32,1.066,,0.038,0.013,0.0,0.0,,,,,,,,,,,,,,
,Gorilla Glue 4,"Hybrid, Flower, Inhalable",2016-11-17,,142,,,,,,0.0,0.008,0.005,0.0,0.0,0.0,0.0,0.047,0.0,0.006,0.0,0.14,0.023,0.0,0.08,0.139,,0.04,0.157,0.0,0.0,,,,,,,,,,,,,,
