Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
HMy8Gz6YTX2rNXNEC,Humble Pie-LR,Concentrate,2017-07-15,2017-07-15,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.04,0.16,0.05,0.0,0.53,0.58,0.04,0.0,0.59,0.0,0.0,,1.07,0.01,84.53,0.01,0.01,0.96,0.01,,,3.64,0.01,0.01,
HQcD4AvXMwpTkJzx9,Smoked Cat Fish,Concentrate,2018-03-28,2018-03-28,12,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.14,0.0,0.0,0.4,0.0,0.05,0.08,0.18,0.07,0.0,0.35,0.11,0.0,0.06,0.26,0.04,0.0,,2.37,0.01,85.26,0.01,0.01,0.01,0.01,,,2.59,0.01,0.01,
HRZCcZ4PXXpevAEYY,Raspberry Smash FECO,Concentrate,2016-07-19,2016-07-20,74,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,31.3,,,0.28,0.43,,0.55,,,,0.81,0.58,
HSu87ma6sCaL8oYPo,Shatter,Concentrate,2016-12-27,2016-12-28,75,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.09,0.0,0.0,0.47,0.41,0.0,0.0,0.19,0.0,0.0,,72.7,,,0.47,0.38,,0.5,,,,2.09,0.97,
HWctoBspSjx6YGD98,Sour Mendo - LR,Concentrate,2016-11-01,2016-11-02,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.58,0.13,0.0,1.01,0.28,0.0,0.0,1.3,0.0,0.0,,67.5,,,0.23,0.29,,0.4,,,,2.78,0.59,
HWkf6WSsS6NcbMpej,Strawberry Banana x Viper City OG-LRB,Concentrate,2017-11-29,2017-11-29,,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.06,0.0,0.23,0.0,0.13,0.08,0.16,0.17,0.02,0.45,1.04,0.07,0.03,0.99,0.0,0.0,,0.01,0.01,86.35,0.01,0.01,0.01,0.01,,,2.7,0.61,0.01,
HWmQZ9hrWHeBzyN2D,Thin Mint Cookies - TR,Concentrate,2016-02-09,2016-02-11,,,,0.0,0.0,,0.0,0.06,0.0,0.02,0.0,0.06,0.0,0.94,0.0,0.13,0.07,0.58,0.19,0.02,0.78,0.2,0.04,0.07,0.59,0.01,0.01,,56.3,,,0.1,0.07,,0.01,,,,1.76,0.11,
HXiyeKWu3QdwfuQPf,Golden Goji Cobra Full Plant Sift Rosin,Concentrate,2017-03-07,2017-03-09,5,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.03,0.12,0.16,0.0,0.32,0.3,0.0,0.05,0.83,0.0,0.0,,58.6,,,0.43,0.32,,0.44,,,,2.12,0.48,
HYpwoz22qHhB9BS7W,Distillate - Stage 2,Concentrate,2016-01-05,2016-01-07,22,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.01,,8.2,,,0.51,14.7,,0.56,,,,0.42,0.8,
HZ7T7XEXp2CfXrkSy,Strawberry Goji-011918-LRB,Concentrate,2018-01-26,2018-01-26,,0.0,0.0,,,,0.07,0.1,0.0,0.0,0.0,0.09,0.0,0.35,0.0,0.55,0.08,0.24,0.21,0.08,0.41,0.84,0.4,0.11,1.31,0.06,0.0,,1.56,0.01,85.24,0.01,0.01,0.95,0.01,,,2.99,0.67,0.02,
HZRG7e2h4ydsna2w6,PASSION-041718,Concentrate,2018-04-25,2018-04-25,,0.0,0.0,,,,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.15,0.16,0.33,0.18,0.0,0.62,3.74,1.08,0.17,1.54,0.08,0.0,,47.72,0.01,18.35,0.33,0.25,1.03,1.43,,,2.02,1.78,1.98,
HcgYnc8Hh9uQDLteT,Cookies n Cookies,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.13,0.0,0.21,0.04,0.01,0.0,0.0,0.21,1.44,0.21,0.0,0.35,0.0,0.0,,0.22,0.01,82.8,0.01,0.01,0.15,0.01,,,2.37,0.44,0.03,
HcjNwCmPAgLDv2w5L,Mendo Monkey - LRB,Concentrate,2017-04-13,2017-04-15,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.04,0.25,0.03,0.0,0.56,0.19,0.0,0.0,0.35,0.0,0.0,,53.6,,,0.24,0.22,,0.58,,,,3.13,0.38,
HfJTDpHgdg7P829zo,Lemon Cookie - B - LR,Concentrate,2016-09-06,2016-09-07,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.09,0.03,0.49,0.09,0.0,0.81,0.28,0.02,0.02,0.53,0.0,0.0,,67.8,,,0.34,0.0,,0.44,,,,3.5,1.48,
HiFefGeZAZFrA54H8,Gorilla Glue - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.15,0.05,0.35,0.03,0.0,0.82,0.22,0.03,0.17,0.52,0.0,0.0,,1.66,0.01,76.53,0.01,0.01,0.55,0.01,,,3.27,0.54,0.01,
HjSXKrMgzXQY6hfSv,Garlic Chem -LRB,Concentrate,2017-08-19,2017-08-19,,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.72,0.09,0.63,0.11,0.03,1.33,0.25,0.19,0.05,0.61,0.0,0.0,,,,,,,,,,,,,,
Hjgf5ZNCWJX5DeSmq,Fruit Punch O.G. - LRB,Concentrate,2016-05-31,2016-06-01,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.11,0.02,0.13,0.11,0.0,0.26,0.35,0.03,0.06,1.04,0.0,0.0,,64.7,,,0.26,0.26,,0.5,,,,1.27,0.54,
HmRaFqM7dhZRteuPe,Cannatonic x Fire OG,Concentrate,2016-11-22,2016-11-24,5,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.21,0.0,0.0,0.13,0.26,0.17,0.0,0.76,0.73,0.0,0.17,0.69,0.0,0.0,,37.6,,,0.0,0.86,,20.23,,,,2.47,1.64,
HpRbu3PL4JsK4bKzF,Blue Dream,Concentrate,,,11,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,2.15,2.27,3.93,23.33,0.0,8.17,39.05,0.0,10.5,6.82,0.0,0.0,,,,,,,,,,,,,,
HpToijy78MFTeQ4rK,Grape Stomper - LRB,Concentrate,2016-01-26,2016-01-27,,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.45,0.03,0.06,0.04,0.02,0.12,0.75,0.18,0.0,0.13,0.01,0.0,,55.0,,,0.14,0.04,,0.03,,,,1.09,0.04,
HvuxZH3H8AX4DCmbr,Fire OG,Concentrate,2016-11-08,2016-11-10,5,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.06,0.42,0.2,0.0,1.0,0.55,0.0,0.16,1.36,0.0,0.0,,60.1,,,0.34,0.66,,1.24,,,,3.47,0.96,
HxJjxtZHky5zNaJ3A,Cookies n Chem-LR,Concentrate,2018-02-24,2018-02-24,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.07,0.1,0.17,0.16,0.05,0.27,0.69,0.05,0.05,0.69,0.04,0.0,,1.95,0.01,86.04,0.01,0.01,0.01,0.01,,,3.3,0.64,0.15,
HzyPRT6r3y8g8ATh8,White Goji Haze - LRB,Concentrate,2016-12-06,2016-12-08,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.6,0.05,0.11,0.17,0.02,0.32,0.97,0.14,0.1,0.56,0.0,0.0,,70.8,,,0.47,0.0,,0.43,,,,4.57,1.22,
J3Xq37d8ybzeRwgxz,G1,Concentrate,2017-11-15,2017-11-15,60,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.13,0.0,0.22,0.0,0.04,0.12,0.24,0.03,0.0,0.75,0.7,0.22,0.0,0.19,0.0,0.0,,5.82,0.01,85.29,0.01,0.01,0.01,0.01,,,0.93,0.17,0.14,
J9GtBbsX9gJW3uTnx,Organic Chocolope Rosin- Kel,Concentrate,2017-12-18,2017-12-18,12,0.0,0.0,,,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.08,0.0,0.23,0.21,0.06,0.33,0.18,0.28,0.25,1.63,0.05,0.0,,5.14,0.01,70.61,0.01,0.01,1.18,0.01,,,4.49,0.48,0.01,
J9wibkeCApjCZRGjn,Super Goji Haze- LRB,Concentrate,2017-05-10,2017-05-12,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.25,0.0,0.05,0.04,0.09,0.07,0.0,0.34,0.69,0.0,0.0,0.57,0.0,0.0,84.8,2.0,,,0.0,0.0,0.45,0.0,,,3.3,1.12,0.0,
JBkLm9TSjGyzmPyfS,Laughing Diesel Cake Batter,Concentrate,2018-02-05,2018-02-05,36,0.0,0.0,,,,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.07,0.56,0.17,0.07,1.11,0.28,0.15,0.06,0.29,0.06,0.0,,2.42,0.01,82.53,0.01,0.01,0.01,0.01,,,1.26,0.01,0.01,
JCBXtT7zSwt5TcTpB,Sample 10,Concentrate,,,19,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.03,0.14,0.1,0.0,0.39,0.64,0.0,0.1,0.65,0.0,0.0,,,,,,,,,,,,,,
JEtPuFL3zCNPC2G2M,H.S. Extreme OG,Concentrate,2016-08-30,2016-09-01,12,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.02,0.03,0.25,0.16,0.0,0.46,0.19,0.02,0.04,0.61,0.0,0.0,,65.1,,,1.47,0.46,,0.42,,,,1.93,0.62,
JFwogaJ6QPsijKpsj,Gorilla Glue #4 Batter,Concentrate,2017-02-02,2017-02-04,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.05,0.32,0.09,0.0,0.76,0.59,0.0,0.04,1.01,0.0,0.0,,57.0,,,0.31,0.26,,0.43,,,,2.53,0.54,
JGgJbTvtwnjhHEsQ6,GOB Sauce,Concentrate,2018-03-15,2018-03-15,36,0.0,0.0,,,,0.0,0.2,0.0,0.0,0.0,0.19,0.0,0.48,0.0,0.2,0.2,1.58,1.5,0.0,2.86,9.6,0.0,0.73,3.59,0.1,0.0,,0.78,0.01,46.11,0.01,0.01,0.94,0.01,,,0.9,0.26,0.01,
JHaA4QEGtoiNKDNPg,OG Cookie Haze #1 -LRB,Concentrate,2017-07-14,2017-07-14,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03,0.07,0.23,0.0,0.19,1.48,0.73,0.0,0.22,0.0,0.0,,2.52,0.01,92.24,0.01,0.01,1.06,0.01,,,7.39,0.0,0.16,
JJHfRJvTLYmm7x6HE,Con 2,Concentrate,2015-09-30,2015-10-01,,,,0.0,0.0,,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.08,0.11,0.0,0.0,0.24,0.01,0.0,0.0,0.01,0.0,0.0,,81.6,,,0.49,1.26,,2.29,,,,1.26,0.84,
JJxNYaxHm8Xa6ZCNk,Critical Kush - CR,Concentrate,2016-09-06,2016-09-07,,,,0.0,0.0,,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.02,0.09,1.72,0.0,0.14,0.59,0.0,0.17,0.49,0.0,0.0,,65.8,,,0.46,0.35,,0.46,,,,1.75,0.57,
JL4cHX8vArs2yXMmD,Viper Cookies Trim - TR,Concentrate,2016-09-22,2016-09-23,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.03,0.05,0.64,0.18,0.0,1.15,0.19,0.01,0.07,0.65,0.0,0.0,,65.6,,,0.31,0.24,,0.45,,,,2.81,1.79,
JLGqoXCFcDdwi7G3u,Melon Cookies,Concentrate,2017-02-09,2017-02-11,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.03,0.2,0.06,0.0,0.56,0.48,0.02,0.0,0.64,0.0,0.0,,53.4,,,0.31,0.38,,0.46,,,,2.04,0.35,
JPcFpmdX3HZci7kxX,Tangie Goji-LRB,Concentrate,2017-05-10,2017-05-12,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.22,0.0,0.05,0.04,0.1,0.17,0.0,0.34,0.86,0.04,0.0,0.37,0.0,0.0,80.5,3.3,,,0.0,0.0,0.37,0.0,,,3.09,0.71,0.49,
JQCtDZqgKG4Ps8Hg8,ASD0202TFWAX,Concentrate,2018-02-09,2018-02-09,12,0.0,0.13,,,,0.0,0.0,0.14,0.06,0.0,0.13,0.0,0.3,0.0,0.0,0.15,0.39,0.0,0.0,0.91,0.05,0.0,0.05,0.1,0.0,0.0,,59.31,0.01,0.63,0.38,2.07,0.01,0.01,,,0.29,1.1,4.14,
JSgJtbLugZWFkFxhx,Skywalker-LR,Concentrate,2018-04-20,2018-04-20,,0.0,0.0,,,,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.26,0.0,0.07,0.08,0.28,0.17,0.0,0.57,0.94,0.0,0.09,1.14,0.04,0.0,,2.07,0.01,83.8,0.01,0.01,1.08,0.01,,,2.37,0.51,0.01,
JSgJtbLugZWFkFxhx,Skywalker-LR,Concentrate,2018-04-20,2018-04-20,,0.0,0.0,,,,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.26,0.0,0.07,0.08,0.28,0.17,0.0,0.57,0.94,0.0,0.09,1.14,0.04,0.0,,2.07,0.01,83.8,0.01,0.01,1.08,0.01,,,2.37,0.51,0.01,
JTG8p2gKMdGaRFxfi,Pink Panther,Concentrate,2017-01-16,2017-01-18,76,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.39,0.03,0.0,0.94,0.95,0.0,0.0,0.33,0.0,0.0,,63.2,,,0.23,0.32,,0.54,,,,1.88,0.8,
JWKzMoErAKeFCZLxK,Kosher Kush,Concentrate,2016-12-02,2016-12-05,12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.54,0.02,0.0,1.03,0.0,0.0,0.02,0.08,0.0,0.0,,63.6,,,0.45,0.45,,0.51,,,,2.24,1.08,
JYHh7ebDthtECv79f,ACDC,Concentrate,,,11,0.0,0.0,,,,0.0,1.89,0.0,2.66,0.0,0.0,0.0,0.0,0.0,2.01,0.0,1.95,22.62,0.0,4.9,30.83,1.89,7.97,4.43,0.0,0.0,,,,,,,,,,,,,,
JYW5qKxgGSdnE7orN,Tangie Ghost Live Resin,Concentrate,2017-03-20,2017-03-22,2,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.28,0.0,0.06,0.04,0.07,0.08,0.0,0.3,2.4,0.0,0.06,1.2,0.0,0.0,,62.6,,,0.85,0.23,,0.39,,,,3.49,0.5,
JcSPo2MHS8XnXG2vm,White Fire,Concentrate,2017-06-03,2017-06-03,10,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.03,0.23,0.0,0.0,0.67,0.1,0.0,0.0,0.19,0.0,0.0,,5.83,0.01,76.45,0.01,0.01,0.01,0.01,,,0.8,0.03,2.52,
JdbDKvttuYhwkbYcr,Perkins Cut CBD-LR,Concentrate,2018-04-20,2018-04-20,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.07,0.12,0.16,0.29,0.05,0.25,2.78,0.16,0.1,0.55,0.04,0.13,,0.56,0.01,14.31,0.01,0.01,68.81,2.84,,,0.01,0.5,0.01,
JdbDKvttuYhwkbYcr,Perkins Cut CBD-LR,Concentrate,2018-04-20,2018-04-20,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.07,0.12,0.16,0.29,0.05,0.25,2.78,0.16,0.1,0.55,0.04,0.13,,0.56,0.01,14.31,0.01,0.01,68.81,2.84,,,0.01,0.5,0.01,
JiQAkN73ZTFhCt3cY,Mendo Breath,Concentrate,2017-06-02,2017-06-02,10,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.05,0.16,0.0,0.0,0.48,0.02,0.0,0.0,0.12,0.0,0.0,,3.0,0.01,80.51,0.01,0.01,0.56,0.01,,,0.67,0.02,2.8,
JoF6dvQxRq8zfPdXB,#2,Concentrate,2017-11-30,2017-11-30,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.11,0.0,0.29,0.0,0.05,0.13,0.22,0.25,0.02,0.41,0.59,0.11,0.02,0.35,0.0,0.0,,6.84,0.01,75.1,0.01,0.01,0.01,0.01,,,1.55,0.21,0.11,
JsMv2MquN8mNMfQCR,Lemon Walker- LRB,Concentrate,2017-09-01,2017-09-01,,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.39,0.06,0.26,0.09,0.04,0.57,0.21,0.09,0.03,0.54,0.02,0.0,,1.86,0.01,82.66,0.01,0.01,0.85,0.01,,,5.58,0.34,0.01,
JtgJ9kGwsopfdSrJs,Ghost Train Haze,Concentrate,2015-10-13,2015-10-14,77,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.25,0.0,0.03,0.28,0.22,0.09,0.57,0.54,0.16,0.75,0.11,0.0,,52.1,,,0.28,0.06,,0.2,,,,4.61,0.26,
JvEs5AtNbAfNxWHF6,Greasy Gorilla Breath,Concentrate,2017-07-11,2017-07-11,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.06,0.0,0.0,0.0,0.58,0.08,0.0,0.0,0.26,0.0,0.0,,1.7,0.01,81.68,0.01,0.01,0.89,0.01,,,2.81,0.06,0.01,
JwXFnwvM96p3YzHTK,Double Diesel,Concentrate,2016-02-06,2016-02-08,39,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.03,0.02,0.1,0.58,0.01,0.21,0.51,0.01,0.02,0.36,0.0,0.0,,60.9,,,0.15,0.15,,0.02,,,,1.96,0.09,
K5uiM5Y7LFCnnByEf,Blue Train Haze Shatter,Concentrate,2016-09-09,2016-09-12,12,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.06,0.04,0.21,0.26,0.0,0.43,0.31,0.03,0.08,0.36,0.0,0.0,,62.2,,,0.56,0.9,,3.96,,,,2.57,0.79,
K6QhnntK2ERs4Xhcz,Vanilla Kush,Concentrate,2017-06-12,2017-06-12,3,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.56,0.04,0.18,0.08,0.03,0.48,0.06,0.14,0.03,0.07,0.01,0.0,,15.63,0.01,71.15,0.01,0.0,0.5,0.01,,,5.07,0.89,0.17,
KA26Ewu4cetSrZ3mH,FOG,Concentrate,2017-01-31,2017-02-02,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.15,0.0,0.0,0.04,0.15,0.18,0.0,0.31,0.95,0.06,0.05,1.38,0.0,0.0,,58.2,,,0.34,0.2,,0.39,,,,4.75,0.7,
KA48g7PRtawvNseaY,Master Kush,Concentrate,2018-02-02,2018-02-02,,0.0,0.0,,,,0.0,0.14,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.2,0.17,9.22,0.0,0.47,0.94,0.0,2.19,0.1,0.0,0.0,,65.33,2.73,0.01,1.22,0.94,0.01,0.01,,,0.01,3.06,0.01,
KAmh6bmEF3GbJP5No,Gorilla Glue Live Resin,Concentrate,2017-02-11,2017-02-14,2,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.7,0.01,0.0,1.54,0.37,0.0,0.29,0.27,0.0,0.0,,59.1,,,0.25,0.32,,0.6,,,,3.02,0.56,
KCAWECB3xzrZpwRxi,King Kush,Concentrate,2017-03-30,2017-04-01,78,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.76,0.0,0.4,1.21,0.0,0.38,0.35,0.0,0.0,,55.9,,,0.25,0.33,,0.66,,,,1.88,2.46,
KCLQcqbcSEaN7JGQv,Lime Skunk #5,Concentrate,2017-02-03,2017-02-06,21,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.38,0.04,0.16,0.28,0.08,0.42,0.41,0.32,0.18,0.54,0.04,0.0,,62.18,,,2.22,0.48,,0.52,,,,3.9,0.74,
KCgyCuiHThAXJ4L2y,Extreme Cream Live Resin Cart,Concentrate,2018-05-21,2018-05-21,,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.09,0.15,0.16,0.0,0.36,0.41,0.0,0.13,0.79,0.04,0.0,,60.47,0.01,16.32,0.01,0.01,0.01,0.01,,,1.49,2.01,0.01,
KCkpKHGzLohAp8NzH,Death Star - LR,Concentrate,2016-03-08,2016-03-09,,,,0.0,0.17,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,,58.0,,,0.26,0.07,,0.04,,,,2.29,2.99,
KERgkERHmaDMuDQ3H,GMO Cookies,Concentrate,2017-08-18,2017-08-18,27,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.04,0.06,0.31,0.12,0.0,0.62,0.63,0.02,0.07,1.23,0.0,0.0,,3.46,0.01,86.94,0.01,0.01,1.12,0.01,,,1.78,0.14,0.09,
KFNH8h7moeBQeYexD,Mixed,Concentrate,,,79,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.1,0.33,0.06,0.0,0.77,0.14,0.0,0.04,0.39,0.0,0.0,,,,,,,,,,,,,,
KHKubqxHuFKGeXQX9,Alien Technology,Concentrate,2015-11-24,2015-11-28,,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.06,0.0,0.14,0.02,0.17,0.48,0.02,0.38,1.53,0.0,0.06,0.53,0.01,0.0,,65.9,,,0.22,0.13,,0.05,,,,0.47,0.32,
KJ8TeMTuyGddvxiHv,Chem Dub,Concentrate,2017-01-16,2017-01-18,35,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.06,0.0,0.0,,69.2,,,0.33,0.91,,0.52,,,,3.38,0.61,
KL34BGAEHwEshpqum,Full Melt,Concentrate,2018-01-05,2018-01-05,,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.05,0.18,0.0,0.08,0.21,0.05,0.06,0.15,0.0,0.0,,0.65,0.01,97.98,0.01,0.01,0.01,0.01,,,0.42,0.01,0.01,
KL5ZmfFhSoAofRKoc,Sample 5,Concentrate,,,19,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.02,0.06,0.14,0.1,0.0,0.29,0.18,0.01,0.04,0.55,0.0,0.0,,,,,,,,,,,,,,
KN7WHK6b6Lgmehi9P,Strawberry OG Craft Cart,Concentrate,2017-08-25,2017-08-25,2,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.14,0.07,0.24,0.14,0.02,0.79,0.79,0.06,0.17,1.6,0.0,0.0,,54.29,2.94,16.1,0.16,0.54,0.01,0.01,,,0.63,1.35,0.0,
KNqwmSLxoSJrgCcoq,P OG,Concentrate,2017-05-16,2017-05-18,17,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.04,0.06,1.05,0.0,0.34,0.82,0.05,0.2,0.62,0.0,0.0,78.2,3.6,,,0.0,0.0,0.47,0.0,,,2.55,0.46,0.0,
KPBXMfQnGFXb7PqX9,Jedi Kush Ice Wax 1st Wash 70um,Concentrate,2017-01-27,2017-01-28,7,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.09,0.12,0.23,0.0,0.43,0.47,0.0,0.08,1.24,0.0,0.0,,64.9,,,0.3,0.0,,0.37,,,,3.29,0.62,
KQfXkyADEkg9SnFR7,Viper Cookies - LRB,Concentrate,2016-09-20,2016-09-21,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.06,0.11,0.72,0.08,0.0,1.23,0.12,0.02,0.05,0.51,0.0,0.0,,61.3,,,0.28,0.29,,0.44,,,,2.7,1.3,
KQmvfX4NfNsWarjvC,CBD Distilate,Concentrate,2016-10-06,2016-10-08,80,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,,0.0,0.0,,84.1,,,,4.24,3.29,
KRD5oqu2fb9N7yeRz,Zkittles,Concentrate,,,11,0.0,0.0,,,,0.0,0.0,2.76,0.0,0.0,0.0,0.0,6.7,0.0,2.22,0.0,14.87,2.27,0.0,29.63,3.68,2.11,2.27,6.7,0.0,0.0,,,,,,,,,,,,,,
KSPPjLmAM9t54iGdh,Lemon Skunk-013118-02-LR,Concentrate,2018-02-09,2018-02-09,,0.0,0.0,,,,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.55,0.06,0.15,0.17,0.07,0.18,0.57,0.28,0.08,0.64,0.05,0.0,,0.53,0.01,83.5,0.01,0.01,0.01,0.01,,,2.59,0.48,0.01,
KTFt5a5wLzFfFQbf9,Fruit Punch,Concentrate,2017-03-28,2017-03-30,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.05,0.23,0.13,0.0,0.53,0.37,0.0,0.02,0.95,0.0,0.0,,57.9,,,0.26,0.2,,0.41,,,,3.91,0.65,
